College Code,College Name,Branch Code,Approved Intake,Year Started,NBA,Accreditation Valid Upto
2638,Mahendra Engineering College for Women Kumaramangalam,CS,180,2008,No,-
2638,Mahendra Engineering College for Women Kumaramangalam,EC,120,2008,No,-
2638,Mahendra Engineering College for Women Kumaramangalam,IT,60,2008,No,-
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,AD,60,2022,No,-
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,CS,120,2008,No,-
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,EC,60,2008,No,-
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,EE,30,2008,No,-
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,IT,60,2008,No,-
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,ME,30,2009,No,-
2640,Jayalakshmi Institute of Technology Thoppur,CS,120,2008,No,-
2640,Jayalakshmi Institute of Technology Thoppur,AD,60,2020,No,-
2640,Jayalakshmi Institute of Technology Thoppur,CE,30,2009,No,-
2640,Jayalakshmi Institute of Technology Thoppur,EC,60,2008,No,-
2640,Jayalakshmi Institute of Technology Thoppur,EE,60,2008,No,-
2640,Jayalakshmi Institute of Technology Thoppur,ME,60,2009,No,-
2640,Jayalakshmi Institute of Technology Thoppur,IT,30,2023,No,-
2640,Jayalakshmi Institute of Technology Thoppur,AG,60,2023,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,CE,30,2009,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,CS,90,2008,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,EC,60,2008,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,EE,30,2008,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,ME,30,2009,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,IT,90,2022,No,-
2641,VaruvanVadivelan Institute of Technology Nallanahalli,AD,30,2022,No,-
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,CE,30,2010,No,-
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,CS,90,2008,No,-
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,EE,60,2008,No,-
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,EC,60,2008,No,-
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,ME,60,2009,No,-
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,IT,90,2008,No,-
